id,title,domain,domains_touched,tier,status,confidence,date_start,date_end,date_precision,prereq_count,prereqs,enables_count,enables,contested,tags
AGR-110,Manure and Night-Soil Nutrient Cycling,agriculture,health,core,drafted,high,-6000,1800,era,2,AGR-020; AGR-030,1,AGR-240,TRUE,manure; night-soil; nutrient-cycling; dung-fuel
AGR-120,Wet-Rice Intensification (Champa Rice),agriculture,,standard,drafted,high,-5000,1100,era,1,AGR-020,0,,FALSE,champa-rice; wet-rice; double-cropping; yangzi
AGR-130,"The Ard, Animal Traction, and the Gendered Field",agriculture,,core,drafted,medium,-4000,-1000,era,1,AGR-030,2,AGR-180; AGR-260,TRUE,ard; plow; animal-traction; boserup-thesis; gendered-labor
AGR-140,The Pastoralist–Cultivator Conflict Cycle,agriculture,war; migration,core,drafted,medium,-3000,2000,era,1,AGR-030,0,,FALSE,pastoralist-cultivator-conflict; transhumance; grazing-corridor; land-use
AGR-150,Salinization and the Sumerian Yield Collapse,agriculture,commerce,core,drafted,medium,-2400,-1700,era,1,AGR-100,0,,TRUE,salinization; sumer; irrigation-drainage; wheat-barley-shift
AGR-160,Iron Farm Tools and the Forest Frontier,agriculture,engineering; migration,core,drafted,medium,-1200,1000,era,3,AGR-020; COM-020; ENG-010,0,,FALSE,iron-tools; forest-clearance; bantu-expansion; plowshare
AGR-170,The Roman Grain Order,agriculture,law; maritime,standard,drafted,medium,-123,476,era,2,AGR-100; MAR-020,1,LAW-080,FALSE,annona; roman-grain-trade; egypt
AGR-180,The North European Package,agriculture,engineering,core,drafted,medium,600,1200,era,1,AGR-130,2,AGR-240; AGR-200,TRUE,mouldboard-plow; horse-collar; three-field-rotation; lynn-white-thesis
AGR-190,The Fourteenth-Century Shock and the Great Divergence of Serfdom,agriculture,health; law,core,drafted,medium,1350,1600,century,1,HLT-220,0,,TRUE,second-serfdom; brenner-debate; agrarian-divergence; grain-export
AGR-200,Enclosure and Land Tenure Regimes,agriculture,law; migration,core,drafted,high,1450,1850,era,1,AGR-180,0,,TRUE,enclosure; common-land; land-tenure; dispossession
AGR-210,The Plantation Complex,agriculture,commerce; migration,core,drafted,high,1450,1888,century,2,MIG-160; WAR-035,0,,FALSE,plantation; monoculture; gang-labor; sugar; soil-exhaustion
AGR-220,The Columbian Exchange and Collapse,agriculture,migration; health; maritime,core,drafted,high,1492,1700,century,2,AGR-020; MAR-160,1,AGR-270,TRUE,columbian-exchange; maize; potato; cassava; land-abandonment
AGR-230,The Little Ice Age and the General Crisis,agriculture,war; finance,standard,drafted,medium,1560,1720,century,0,,0,,TRUE,little-ice-age; general-crisis; harvest-failure; ming-collapse; celali-revolts
AGR-240,Fodder Crops and Legume Rotation,agriculture,,core,drafted,high,1650,1800,century,2,AGR-180; AGR-110,0,,TRUE,turnip-townshend; norfolk-rotation; legume-rotation; fodder-crops
AGR-250,Selective Livestock Breeding,agriculture,,core,drafted,medium,1760,1800,century,1,AGR-070,0,,TRUE,selective-breeding; bakewell; livestock-genetics; controlled-mating
AGR-260,Mechanisation and the Cold Chain,agriculture,engineering; commerce; migration,core,drafted,high,1830,1960,century,2,AGR-130; ENG-290,0,,FALSE,tractor; farm-mechanization; combine-harvester; rural-exodus
AGR-270,Monoculture Dependency and Famine,agriculture,migration; health,core,drafted,high,1845,1852,decade,1,AGR-220,0,,TRUE,irish-potato-famine; phytophthora-infestans; blight; genetic-uniformity
AGR-280,The Green Revolution,agriculture,engineering,core,drafted,high,1943,1980,century,2,AGR-100; ENG-320,0,,TRUE,green-revolution; borlaug; high-yield-variety; semi-dwarf-wheat
COM-010,The Marketplace and the Stranger,commerce,religion; law,core,drafted,medium,-3500,-1000,era,0,,3,COM-030; COM-020; COM-060,TRUE,marketplace; silent-trade; karum; tianguis; market-judge
COM-020,Metallurgy as Craft and Commodity — Bronze to Wrought Iron,commerce,engineering; war; agriculture,core,drafted,medium,-3300,1500,era,2,COM-010; ENG-010,7,COM-100; COM-200; COM-230; COM-040; ENG-260; WAR-040; AGR-160,FALSE,metallurgy; craft-guild; wootz-steel; bronze-age; wrought-iron
COM-030,Weights and Measures Standardization,commerce,law,core,drafted,high,-2600,1875,era,2,MAR-020; COM-010,2,COM-190; COM-090,FALSE,standardization; weights-and-measures; metric-system; indus-valley
COM-040,The Late Bronze Age Trade Collapse,commerce,war,core,drafted,medium,-1200,-1150,decade,1,COM-020,0,,TRUE,bronze-age-collapse; ugarit; sea-peoples; systems-collapse
COM-050,The Caravan as a Risk-Pooling Institution,commerce,migration; war,core,drafted,medium,-1000,1850,era,1,MIG-050,1,COM-080,FALSE,caravan; trans-saharan-trade; gold-salt-trade; risk-pooling; timbuktu
COM-060,Retail Trade and the Urban Shop,commerce,,standard,drafted,medium,-700,1800,era,1,COM-010,0,,FALSE,retail; shop; suq; bazaar; kaifeng
COM-070,Route Infrastructure Decay and Maintenance,commerce,agriculture; engineering,core,drafted,medium,-500,1500,era,2,COM-080; AGR-100,0,,FALSE,grand-canal; qanat; roman-roads; infrastructure-maintenance
COM-080,The Silk Road as a Logistics System,commerce,migration; war; diplomacy; agriculture,core,drafted,high,-130,1450,era,2,MIG-040; COM-050,1,COM-070,TRUE,silk-road; overland-trade; pax-mongolica; caravan
COM-090,The Periodic Fair and the Law Merchant,commerce,law,core,drafted,medium,1100,1600,century,1,COM-030,0,,FALSE,periodic-fair; champagne-fairs; law-merchant; piepowder-court
COM-100,Manufactories,commerce,engineering; finance,core,drafted,medium,1104,1780,era,1,COM-020,2,COM-180; COM-170,FALSE,manufactory; jingdezhen; venice-arsenal; proto-industrial
COM-110,The Hanseatic League,commerce,law; diplomacy,core,drafted,high,1358,1669,century,1,MAR-090,1,COM-150,FALSE,hanseatic-league; merchant-league; kontor; baltic-trade
COM-120,The Putting-Out System,commerce,,standard,drafted,high,1400,1800,era,0,,0,,FALSE,putting-out; domestic-system; cottage-industry; merchant-capitalist
COM-130,The Race for Narrow Sea Chokepoints,commerce,war; diplomacy,standard,drafted,high,1500,1979,era,2,MAR-160; ENG-280,1,MAR-285,FALSE,chokepoint; suez-canal; panama-canal; strait-of-malacca
COM-140,Silver Shock — American Silver and the Price Revolution,commerce,finance,core,drafted,high,1545,1650,decade,1,MAR-160,0,,TRUE,silver; price-revolution; potosi; manila-galleon; ming-china; sovereign-default
COM-150,The Chartered Trading Company,commerce,finance; war; diplomacy,core,drafted,high,1600,1874,century,1,COM-110,1,COM-210,FALSE,chartered-company; east-india-company; joint-stock; colonialism
COM-160,Colonial Commodity Traps,commerce,migration; finance; agriculture,core,drafted,high,1650,1975,century,1,MIG-150,0,,TRUE,monoculture; cash-crop; dependency; colonial-economy
COM-170,The Factory and Division of Labor,commerce,engineering; migration,core,drafted,high,1771,1850,century,2,COM-100; ENG-170,1,COM-220,FALSE,factory-system; division-of-labor; industrial-revolution; mechanization
COM-180,Technological Displacement of Craft,commerce,law; migration,core,drafted,medium,1811,1860,century,1,COM-100,0,,TRUE,luddites; deindustrialization; craft-displacement; hand-loom-weavers
COM-190,Protectionism and Tariff Wars,commerce,law; diplomacy,core,drafted,high,1815,1930,century,2,COM-030; COM-210,0,,FALSE,tariff; protectionism; tariff-autonomy; trade-policy
COM-200,Railways,commerce,engineering; finance; migration,core,drafted,high,1825,1916,century,3,COM-020; ENG-170; ENG-260,0,,TRUE,railways; rail-network; colonial-infrastructure; transcontinental
COM-210,The Opium Wars as Forced Market Access,commerce,health; war; diplomacy; law,core,drafted,high,1839,1860,decade,1,COM-150,1,COM-190,TRUE,opium-wars; unequal-treaties; treaty-ports; forced-trade
COM-220,"Trademark, Brand, and Trust at a Distance",commerce,law,standard,drafted,medium,1860,1920,century,1,COM-170,0,,FALSE,trademark; brand; bass-brewery; coca-cola; meiji-trademark-law
COM-230,The Cold Chain,commerce,engineering; health; agriculture,standard,drafted,high,1876,1950,century,1,COM-020,0,,FALSE,refrigeration; cold-chain; meat-export; food-preservation
DIP-010,Envoy Immunity and the Sanctity of the Messenger,diplomacy,,core,drafted,high,-2000,-500,era,0,,5,DIP-040; DIP-020; DIP-060; DIP-080; DIP-055,TRUE,envoy-immunity; herald; kerux; meng-covenant
DIP-020,Treaty and Oath,diplomacy,religion,core,drafted,high,-1259,1142,era,1,DIP-010,3,DIP-080; DIP-025; DIP-058,FALSE,treaty; oath; meng-covenant; wampum
DIP-025,Succession as an International Event,diplomacy,law; war,core,drafted,medium,-703,1900,era,3,DIP-020; DIP-040; DIP-060,0,,FALSE,succession; recognition; investiture; khutba; spanish-succession; austrian-succession; pragmatic-sanction; time-of-troubles; rhandeia; doctrine-of-lapse; regency
DIP-030,Interpreters and Linguistic Mediation in Diplomacy,diplomacy,,core,drafted,high,-700,1800,era,0,,3,DIP-040; DIP-080; DIP-090,FALSE,interpreter; dragoman; malintzin; linguistic-mediation
DIP-040,"Empire, Tribute, and Legitimacy Diplomacy",diplomacy,commerce; finance,core,drafted,medium,-550,1521,era,3,WAR-060; DIP-010; DIP-030,2,DIP-060; DIP-025,FALSE,tribute-system; empire; legitimacy; client-kingdom
DIP-050,"Roads, Garrisons, and Imperial Unification",diplomacy,engineering; war,standard,drafted,high,-500,1533,era,1,ENG-090,0,,FALSE,imperial-roads; garrison; royal-road; chasqui
DIP-055,Misperception and Inadvertent Escalation,diplomacy,war; media,core,drafted,medium,-431,2000,era,1,DIP-010,1,DIP-170,TRUE,security-dilemma; spiral-model; misperception; inadvertent-escalation; commitment-credibility; thucydides; hideyoshi; macartney; ems-telegram; able-archer; brasstacks
DIP-058,Balancing and Coalition Formation,diplomacy,war,core,drafted,medium,-318,2000,era,1,DIP-020,1,DIP-130,TRUE,balance-of-power; balancing; bandwagoning; coalition; hezong-lianheng; ipsus; talikota; holy-league; crowe-memorandum; triple-alliance; pariah-state
DIP-060,"Gifts, Hostages, and Marriages",diplomacy,migration,core,drafted,high,-200,1800,era,2,DIP-040; DIP-010,1,DIP-025,FALSE,heqin-marriage; royal-marriage; hostage-diplomacy; gift-exchange
DIP-070,Non-Sovereign Diplomatic Actors: Papal Arbitration and Merchant-League Negotiation,diplomacy,religion; commerce,core,drafted,high,1358,1648,century,0,,1,DIP-090,TRUE,papal-arbitration; tordesillas; hanseatic-league; non-state-diplomacy
DIP-080,Permanent Embassies and the Professional Diplomat,diplomacy,,core,drafted,high,1450,1648,era,3,DIP-020; DIP-010; DIP-030,2,DIP-110; DIP-100,FALSE,permanent-embassy; resident-ambassador; italian-city-states; diplomatic-immunity
DIP-090,"Imperial Oceanic Diplomacy — Colonies, Protectorates, and Recognition",diplomacy,maritime; commerce; migration,core,drafted,high,1494,1885,era,3,MIG-060; DIP-030; DIP-070,0,,FALSE,protectorate; berlin-conference; unequal-treaty; colonial-recognition
DIP-100,Sovereignty — The Westphalian Package,diplomacy,law; religion,core,drafted,medium,1648,1955,era,2,REL-220; DIP-080,7,DIP-120; DIP-130; DIP-180; DIP-200; DIP-150; DIP-140; DIP-115,TRUE,westphalian-sovereignty; non-interference; territorial-integrity
DIP-110,"Espionage, Diplomatic Cover, and Persona Non Grata",diplomacy,war,standard,drafted,high,1650,1985,century,1,DIP-080,0,,FALSE,espionage; diplomatic-cover; persona-non-grata; expulsion
DIP-115,Peripheral Revolt as an International Opportunity,diplomacy,war; finance; migration,core,drafted,medium,1703,1975,era,1,DIP-100,0,,TRUE,peripheral-revolt; foreign-sponsorship; american-revolution; greek-independence; navarino; arab-revolt; burma-independence-army; bangladesh-1971; katanga; algiers-agreement; bandung
DIP-120,Revolution and the Diplomacy of Reinvented Legitimacy,diplomacy,law,core,drafted,high,1776,1862,century,1,DIP-100,0,,FALSE,revolution; recognition; meiji-restoration; haitian-independence
DIP-130,Concert of Powers and Spheres of Influence,diplomacy,war,core,drafted,high,1815,1914,century,2,DIP-100; DIP-058,1,DIP-170,FALSE,concert-of-europe; congress-of-vienna; spheres-of-influence; great-power-management
DIP-140,Unequal Treaties and Coerced Bilateral Diplomacy,diplomacy,commerce,core,drafted,high,1842,1943,century,1,DIP-100,0,,FALSE,unequal-treaty; treaty-port; opium-wars; coerced-diplomacy
DIP-150,Extraterritoriality and Consular Jurisdiction,diplomacy,law,standard,drafted,high,1843,1943,century,1,DIP-100,0,,FALSE,extraterritoriality; capitulations; consular-court; unequal-treaty
DIP-160,Nationalism as a Diplomatic Recognition Principle,diplomacy,law; philosophy,core,drafted,high,1848,1971,era,1,LAW-050,0,,TRUE,nationalism; self-determination; partition; oau-border-principle
DIP-170,Alliance Cascade: The Collapse of a Diplomatic System into General War,diplomacy,war,core,drafted,high,1914,1914,year,3,DIP-130; MED-100; DIP-055,1,DIP-180,FALSE,july-crisis; alliance-system; cascade-collapse; concert-of-europe
DIP-180,Collective Security and International Organizations,diplomacy,law; war,core,drafted,high,1920,1961,era,2,DIP-100; DIP-170,1,DIP-190,FALSE,league-of-nations; united-nations; non-aligned-movement; collective-security
DIP-190,Sanctions,diplomacy,commerce; war,core,drafted,high,1935,1994,century,1,DIP-180,0,,TRUE,sanctions; economic-coercion; apartheid-boycott; embargo
DIP-200,Diplomatic Derecognition and the Rupture of Relations,diplomacy,,standard,drafted,high,1949,1979,century,1,DIP-100,0,,FALSE,derecognition; taiwan-un-seat; one-china-policy; broken-relations
ENG-010,Metalworking and the Smelting Furnace,engineering,commerce; war; agriculture,core,drafted,medium,-6000,-1200,era,0,,5,COM-020; WAR-040; AGR-160; ENG-055; HLT-085,TRUE,smelting; metallurgy; bronze-age; piece-mold-casting; bloomery; tin; cassiterite
ENG-020,Irrigation and Dams,engineering,agriculture,core,drafted,high,-6000,-250,era,1,ENG-060,2,ENG-080; AGR-100,FALSE,irrigation; dam; hydraulic-engineering; dujiangyan
ENG-030,The Potter's Wheel,engineering,health; commerce,standard,drafted,medium,-4500,-1500,era,0,,0,,FALSE,potters-wheel; ceramics; standardization; mass-production
ENG-040,Fired Brick and Masonry Units,engineering,,core,drafted,high,-3500,-1000,era,0,,0,,FALSE,brick; kiln; masonry; indus-valley; ziggurat
ENG-050,Construction Glass,engineering,,standard,drafted,high,-3500,1851,era,1,ENG-110,1,ENG-240,FALSE,glass; glassblowing; crystal-palace; plate-glass
ENG-055,The Organic Energy Economy and Its Ceiling,engineering,agriculture; commerce; nature; health,core,drafted,medium,-3300,1800,era,2,ENG-010; AGR-020,2,ENG-120; ENG-165,TRUE,organic-economy; charcoal; timber; wrigley; photosynthetic-ceiling; silviculture
ENG-060,"Simple Machines: Lever, Pulley, Screw, and Wedge",engineering,,core,drafted,high,-3000,-250,era,0,,3,ENG-020; ENG-090; ENG-110,FALSE,simple-machines; lever; pulley; archimedes; mechanical-advantage
ENG-070,Sewer and Waste Removal Engineering,engineering,health,core,drafted,high,-2600,1875,era,1,ENG-080,1,HLT-090,FALSE,sewer; cloaca-maxima; bazalgette; great-stink; waste-removal
ENG-080,Water Supply Engineering,engineering,health; agriculture,core,drafted,high,-2500,1900,era,1,ENG-020,3,HLT-090; ENG-270; ENG-070,FALSE,aqueduct; qanat; hydraulic-engineering
ENG-090,Roads and Bridges,engineering,war; commerce,core,drafted,high,-500,1533,era,1,ENG-060,3,REL-160; DIP-050; MED-030,FALSE,roads; bridges; inca-road-system; persian-royal-road
ENG-110,"Concrete, Vault, and Dome",engineering,,core,drafted,medium,-100,1300,era,1,ENG-060,3,ENG-050; REL-110; ENG-130,FALSE,concrete; vault; dome; roman-concrete; muqarnas
ENG-120,Windmill and Watermill Construction,engineering,agriculture,standard,drafted,medium,31,1200,era,1,ENG-055,0,,FALSE,windmill; watermill; gearing; panemone; power-transmission
ENG-130,Roman Concrete's Lost Recipe,engineering,,core,drafted,medium,476,1824,era,1,ENG-110,0,,TRUE,roman-concrete; pozzolana; opus-caementicium; knowledge-loss
ENG-140,Gunpowder Engineering and Explosives,engineering,,core,drafted,high,850,1450,century,0,,2,WAR-130; ENG-280,FALSE,gunpowder; saltpeter; corning-process; explosives
ENG-160,Mechanical Clockwork and the Escapement,engineering,,standard,drafted,medium,1092,1400,era,0,,1,MAR-250,TRUE,clockwork; escapement; su-song; al-jazari; verge-and-foliot
ENG-165,The Coal Economy,engineering,commerce; health; war; nature,core,drafted,high,1550,1900,decade,1,ENG-055,3,ENG-170; ENG-300; ENG-260,TRUE,coal; coalfield; drainage; pomeranz; great-divergence; anthracite
ENG-170,The Steam Engine,engineering,nature; commerce; health,core,drafted,high,1712,1830,decade,2,NAT-040; ENG-165,7,COM-170; COM-200; ENG-190; ENG-250; ENG-300; ENG-220; MAR-260,FALSE,steam-engine; watt-engine; newcomen-engine; mechanical-power
ENG-180,Weaving Looms and Textile Mechanization,engineering,commerce,core,drafted,high,1733,1830,century,0,,1,MTH-065,FALSE,loom; spinning-jenny; power-loom; textile-machinery
ENG-190,Machine Tools,engineering,,core,drafted,high,1775,1840,century,1,ENG-170,4,ENG-210; ENG-290; ENG-330; ENG-215,FALSE,machine-tools; lathe; boring-machine; precision-manufacturing
ENG-200,Cast Iron and the Iron Bridge,engineering,,stub,drafted,high,1779,1779,year,0,,0,,FALSE,cast-iron; ironbridge; coalbrookdale; structural-metal
ENG-210,"Mechanical Engineering — Transmission, Precision, and Component Standards",engineering,commerce; war,core,drafted,medium,1800,1900,century,1,ENG-190,0,,FALSE,interchangeable-parts; precision-engineering; standardization; transmission
ENG-215,Calculating Machines and the Embodied Arithmetic Operation,engineering,mathematics; commerce; finance,standard,drafted,medium,1820,1970,decade,2,ENG-190; MTH-015,1,MTH-065,TRUE,arithmometer; pascaline; stepped-reckoner; odhner; comptometer; tiger-calculator; soroban
ENG-220,Refrigeration and Mechanical Cooling,engineering,commerce; agriculture,standard,drafted,high,1834,1876,century,1,ENG-170,0,,FALSE,refrigeration; vapor-compression; gorrie; ice-house
ENG-240,The Crystal Palace and Prefabricated Construction,engineering,,stub,drafted,high,1851,1851,year,1,ENG-050,0,,FALSE,crystal-palace; prefabrication; joseph-paxton; modular-construction
ENG-250,The Elevator and Safety Brake,engineering,,standard,drafted,high,1852,1885,century,1,ENG-170,0,,FALSE,elevator; safety-brake; skyscraper; otis
ENG-260,The Bessemer Process and Steel Commodification,engineering,commerce,core,drafted,high,1856,1880,decade,2,COM-020; ENG-165,2,COM-200; ENG-310,FALSE,bessemer-process; steelmaking; decarburization; carnegie
ENG-265,Petroleum Extraction,engineering,commerce; war; maritime; finance,core,drafted,high,1859,1911,decade,2,ENG-280; MAR-100,3,ENG-275; WAR-275; LAW-215,FALSE,petroleum; drake-well; baku; yenangyaung; spindletop; rule-of-capture; kerosene
ENG-270,The Subway,engineering,commerce; migration,standard,drafted,high,1863,1927,century,1,ENG-080,0,,FALSE,subway; underground-railway; tunneling; urban-transit
ENG-275,Refining and the Fixed-Ratio Problem,engineering,war; commerce; nature; maritime,core,drafted,high,1863,1937,decade,2,ENG-265; NAT-160,2,ENG-290; WAR-275,FALSE,refining; fractional-distillation; cracking; octane; fischer-tropsch; kerosene; gasoline
ENG-280,Dynamite and Industrial Blasting,engineering,commerce; war,core,drafted,high,1866,1914,century,1,ENG-140,2,COM-130; ENG-265,FALSE,dynamite; blasting; nobel; tunneling
ENG-290,The Internal Combustion Engine,engineering,war; commerce; agriculture,core,drafted,high,1876,1913,decade,2,ENG-190; ENG-275,3,AGR-260; MAR-320; WAR-270,FALSE,internal-combustion-engine; automobile; model-t; diesel-engine
ENG-300,Electrification,engineering,commerce; nature,core,drafted,high,1882,1935,decade,3,ENG-170; NAT-170; ENG-165,2,MED-130; MED-140,TRUE,electrification; power-grid; alternating-current; rural-electrification
ENG-310,Steel-Frame Construction and the Skyscraper,engineering,,core,drafted,medium,1885,1900,decade,1,ENG-260,0,,TRUE,steel-frame; skyscraper; home-insurance-building; curtain-wall
ENG-320,Agrochemicals and Synthetic Fertilizers,engineering,agriculture; migration,core,drafted,high,1909,1950,century,0,,1,AGR-280,TRUE,haber-bosch; synthetic-fertilizer; green-revolution; nitrogen-fixation
ENG-330,Semiconductors,engineering,nature; commerce,core,drafted,high,1947,1990,century,2,ENG-190; NAT-210,2,ENG-340; MED-150,FALSE,semiconductor; transistor; integrated-circuit; fabrication
ENG-340,Satellite Positioning,engineering,maritime; war; commerce; diplomacy; nature,core,drafted,medium,1973,2000,decade,3,MAR-335; ENG-330; NAT-220,0,,TRUE,gps; navstar; galileo; beidou; navic; selective-availability; positioning
FIN-010,Coinage and the Invention of Money,finance,commerce,core,drafted,high,-3000,-400,era,0,,2,FIN-020; FIN-030,TRUE,coinage; commodity-money; lydia; barter
FIN-020,"Cadastre, Tax, and Census",finance,law,core,drafted,medium,-3000,-100,era,1,FIN-010,12,FIN-030; FIN-060; FIN-100; FIN-050; FIN-140; FIN-240; REL-130; FIN-110; LAW-210; WAR-200; LAW-165; MTH-075,FALSE,cadastre; census; taxation; state-capacity
FIN-030,"Credit, Interest, and Usury",finance,religion; law,core,drafted,high,-1800,1600,era,2,FIN-020; FIN-010,2,FIN-150; FIN-040,FALSE,credit; interest; usury; riba; moneylending
FIN-040,Bills of Exchange and Negotiable Instruments,finance,commerce,core,drafted,high,700,1400,era,1,FIN-030,1,FIN-060,FALSE,bill-of-exchange; suftaja; negotiable-instrument; merchant-banking
FIN-050,Paper Money and Fiat Currency,finance,,core,drafted,medium,806,1930,era,1,FIN-020,4,FIN-250; FIN-260; FIN-220; FIN-270,FALSE,paper-money; fiat-currency; jiaozi
FIN-060,The Double-Entry Method,finance,commerce,core,drafted,medium,1000,1494,century,2,FIN-020; FIN-040,3,FIN-070; FIN-130; FIN-090,TRUE,double-entry; bookkeeping; accounting; pacioli
FIN-070,Joint-Stock Companies,finance,commerce,core,drafted,high,1602,1720,century,2,FIN-060; LAW-130,5,FIN-080; FIN-170; FIN-180; FIN-160; LAW-215,FALSE,joint-stock; shares; capital-pooling; voc
FIN-080,Asset Bubbles,finance,commerce,core,drafted,high,1636,1990,era,1,FIN-070,1,FIN-230,TRUE,asset-bubble; tulip-mania; south-sea-bubble; japan-bubble
FIN-090,General Insurance and Actuarial Risk-Pooling,finance,maritime; health,core,drafted,high,1666,1900,century,1,FIN-060,0,,FALSE,insurance; fire-insurance; life-insurance; actuarial-science; takaful; halley; mortality-table
FIN-100,Central Banking,finance,,core,drafted,high,1668,1913,century,1,FIN-020,2,FIN-190; FIN-110,FALSE,central-bank; lender-of-last-resort; monetary-authority
FIN-110,Sovereign Debt and Government Bond Markets,finance,war,core,drafted,high,1690,1900,era,2,FIN-020; FIN-100,1,FIN-210,FALSE,sovereign-debt; government-bonds; financial-revolution; war-finance
FIN-120,Gold Standard,finance,diplomacy,core,drafted,high,1717,1971,century,1,COM-140,1,FIN-220,TRUE,gold-standard; monetary-regime; currency-board; silver-standard
FIN-130,Derivative Finance,finance,commerce,core,drafted,high,1730,1995,era,1,FIN-060,0,,FALSE,derivatives; futures; options; dojima-rice-exchange
FIN-140,Laissez-Faire as Economic Policy,finance,philosophy; commerce,core,drafted,high,1776,1930,century,1,FIN-020,1,FIN-200,TRUE,laissez-faire; classical-liberalism; economic-policy; free-trade
FIN-150,Consumer Lending,finance,,core,drafted,high,1807,1958,century,1,FIN-030,0,,FALSE,consumer-credit; installment-lending; credit-card; rosca
FIN-160,Mutual and Cooperative Banking,finance,,standard,drafted,high,1810,1900,century,1,FIN-070,0,,FALSE,mutual-bank; savings-bank; cooperative-credit; raiffeisen
FIN-170,Limited Liability,finance,law,standard,drafted,high,1811,1862,century,1,FIN-070,1,FIN-180,FALSE,limited-liability; incorporation; corporate-law
FIN-180,Financing Industrialization,finance,commerce; engineering,core,drafted,high,1830,1914,century,2,FIN-070; FIN-170,0,,FALSE,industrial-finance; capital-formation; zaibatsu; bank-financed-industry
FIN-190,Banking Panics,finance,,core,drafted,high,1837,1998,era,1,FIN-100,1,FIN-230,FALSE,bank-run; financial-panic; asian-financial-crisis; contagion
FIN-200,Institutional Responses to Critiques of Capitalism,finance,philosophy; law,core,drafted,high,1848,1991,era,1,FIN-140,0,,TRUE,socialism; command-economy; labor-movement; welfare-state
FIN-210,Credit Rating Agencies,finance,,standard,drafted,high,1909,2010,era,2,FIN-110; MED-100,0,,FALSE,credit-rating; moodys; bond-market; conflict-of-interest
FIN-220,Inflationary Spirals,finance,law,core,drafted,high,1920,1924,decade,2,FIN-120; FIN-050,0,,FALSE,hyperinflation; weimar-germany; zimbabwe; monetary-policy
FIN-230,The Great Depression,finance,commerce; migration,core,drafted,high,1929,1939,decade,2,FIN-080; FIN-190,0,,TRUE,great-depression; 1929-crash; gold-standard-exit; global-crisis
FIN-240,Tax Havens and Offshore Finance,finance,law; diplomacy,core,drafted,high,1934,2010,century,1,FIN-020,0,,FALSE,tax-haven; offshore-finance; capital-flight; bank-secrecy
FIN-250,International Monetary Coordination (Bretton Woods and Successors),finance,diplomacy,core,drafted,high,1944,1971,decade,1,FIN-050,1,FIN-270,FALSE,bretton-woods; international-monetary-system; imf; dollar-gold-peg
FIN-260,Development Finance and International Lending Institutions,finance,diplomacy,standard,drafted,high,1944,1980,decade,1,FIN-050,0,,TRUE,imf; world-bank; development-finance; conditionality
FIN-270,Floating Exchange Rates,finance,diplomacy,core,drafted,high,1971,2001,decade,2,FIN-250; FIN-050,0,,FALSE,floating-exchange-rate; nixon-shock; bretton-woods-collapse; currency-peg
HLT-010,The Forager Baseline: Health and the Body Before Sedentism,health,,core,drafted,medium,-300000,-10000,era,0,,3,HLT-030; HLT-070; HLT-040,TRUE,foraging; paleolithic; baseline; mobility; hunter-gatherer
HLT-020,"Dress, Adornment, and the Marked Body",health,law,standard,drafted,medium,-75000,1900,era,0,,0,,FALSE,dress; adornment; status; body-modification; habitus
